answer_llm,answer_orig,document,question,case_prompt,cosine
"{
   ""case_prompt"": ""A 62-year-old male presents with double vision and difficulty swallowing that started two days ago.""
}",A 65-year-old male presents to the clinic with complaints of double vision and difficulty swallowing that started 2 days ago.,6bfc46c7,Neurological examination focusing on cranial nerves,A 65-year-old male presents to the clinic with complaints of double vision and difficulty swallowing that started 2 days ago.,0.8643623171593748
"{
   ""case_prompt"": ""A 58-year-old male presents with difficulty in speaking and weakness on the right side of his face for the past 24 hours.""
}",A 45-year-old male presents to the clinic with complaints of double vision (diplopia) that has been progressively worsening over the last week.,5cc9b5f7,Neurological examination or assessment of cranial nerves,A 45-year-old male presents to the clinic with complaints of double vision (diplopia) that has been progressively worsening over the last week.,0.7771862038277787
"{
  ""case_prompt"": ""A 62-year-old male presents with weakness in his right arm and difficulty speaking that started 2 hours ago.""
}",A 45-year-old woman presents to the clinic with complaints of persistent numbness and tingling in her left hand over the past two weeks.,2292c44b,"Neurological disorders, particularly concerning presenting symptoms or signs indicative of a neurological issue.",A 45-year-old woman presents to the clinic with complaints of persistent numbness and tingling in her left hand over the past two weeks.,0.7821535568123011
"{
   ""case_prompt"": ""A 60-year-old male presents with sudden onset breathlessness and a productive cough with green sputum for 2 days.""
}","A 45-year-old male presents to the clinic with complaints of increasing shortness of breath over the last week, particularly with exertion. He mentions a history of smoking and occasional cough. Please take a complete history and perform a relevant physical examination.",f9a9c85a,Signs of respiratory distress and possible lung pathology,"A 45-year-old male presents to the clinic with complaints of increasing shortness of breath over the last week, particularly with exertion. He mentions a history of smoking and occasional cough. Please take a complete history and perform a relevant physical examination.",0.8241392871864728
"{
   ""case_prompt"": ""A 52-year-old male presents with excessive daytime sleepiness and loud snoring, reported by his partner.""
}","A 45-year-old man presents to the clinic complaining of excessive daytime sleepiness for the past three months, which has been affecting his work performance.",2e0afdc5,Obstructive Sleep Apnoea (OSA) and related symptoms,"A 45-year-old man presents to the clinic complaining of excessive daytime sleepiness for the past three months, which has been affecting his work performance.",0.8371312327110877
"{
   ""case_prompt"": ""A 65-year-old female presents with swelling in both feet and ankles, along with dry skin and color changes in her lower legs over the past two weeks.""
}",A 60-year-old woman presents to the clinic with complaints of swollen legs and feet that have developed over the past week. She reports that the swelling worsens by the end of the day and improves in the morning. Please take a detailed history and perform a relevant physical examination.,93b7cee6,Oedema and its causes,A 60-year-old woman presents to the clinic with complaints of swollen legs and feet that have developed over the past week. She reports that the swelling worsens by the end of the day and improves in the morning. Please take a detailed history and perform a relevant physical examination.,0.8253687679733972
"{
   ""case_prompt"": ""A 28-year-old male presents with ear pain and discharge for the past 3 days.""
}",A 28-year-old female presents to the clinic with complaints of ear pain and itching in the right ear for the past 5 days. She reports a discharge from the ear that has a foul smell. There is no history of fever or recent upper respiratory infection.,29dc2068,otitis externa,A 28-year-old female presents to the clinic with complaints of ear pain and itching in the right ear for the past 5 days. She reports a discharge from the ear that has a foul smell. There is no history of fever or recent upper respiratory infection.,0.838673305946162
"{
   ""case_prompt"": ""A 72-year-old female presents with progressive back pain and a history of multiple falls over the past year.""
}",A 65-year-old woman presents to the clinic with complaints of progressive back pain and difficulty standing up after sitting for prolonged periods. She reports that the pain is worse with movement and has been persistent for the last few weeks.,967696fd,Osteoporosis and its examination,A 65-year-old woman presents to the clinic with complaints of progressive back pain and difficulty standing up after sitting for prolonged periods. She reports that the pain is worse with movement and has been persistent for the last few weeks.,0.8203253005389527
"{
   ""case_prompt"": ""A 3-year-old male presents with delayed speech development and difficulty interacting with peers.""
}",A 4-year-old child presents to the clinic with concerns about delayed speech development and difficulty in social interactions. The child's parents report that he has started to show limited interest in playing with other children.,79d1dd3f,pediatric physical examination and developmental assessment,A 4-year-old child presents to the clinic with concerns about delayed speech development and difficulty in social interactions. The child's parents report that he has started to show limited interest in playing with other children.,0.8334089181623939
"{
   ""case_prompt"": ""A 55-year-old male presents with chest pain radiating to the left arm, which started 30 minutes ago while walking.""
}","A 45-year-old male presents to the clinic with complaints of chest discomfort that has been occurring intermittently for the past week. He describes the pain as a tightness in his chest, particularly after physical exertion. Please take a full history and perform a relevant physical examination.",e85168e4,"Respiratory and cardiovascular system examination, particularly related to chest pain or discomfort","A 45-year-old male presents to the clinic with complaints of chest discomfort that has been occurring intermittently for the past week. He describes the pain as a tightness in his chest, particularly after physical exertion. Please take a full history and perform a relevant physical examination.",0.8231781195783497
"{
   ""case_prompt"": ""A 54-year-old male presents with palpitations and lightheadedness that started approximately 30 minutes ago.""
}",A 30-year-old female presents to the clinic with complaints of palpitations that she has been experiencing intermittently for the past week.,22a14542,Palpitations and related cardiovascular examination,A 30-year-old female presents to the clinic with complaints of palpitations that she has been experiencing intermittently for the past week.,0.8273598215829909
"{
   ""case_prompt"": ""A 30-year-old female presents with palpitations and mild dizziness that started suddenly 1 hour ago.""
}",A 28-year-old female presents to the clinic with complaints of palpitations that have been occurring intermittently over the past week. She reports feeling her heart racing and occasionally feels lightheaded during these episodes.,88c03c0c,palpitations,A 28-year-old female presents to the clinic with complaints of palpitations that have been occurring intermittently over the past week. She reports feeling her heart racing and occasionally feels lightheaded during these episodes.,0.8208931164321023
"{
   ""case_prompt"": ""A 28-year-old male presents with weakness in the lower limbs for the past week, reporting difficulty walking and reduced sensation in his legs.""
}","A 42-year-old male presents to the clinic with complaints of weakness in both legs for the past two weeks, progressively worsening, and difficulty walking.",fbec4fa2,neurological examination for paraparesis or paraplegia,"A 42-year-old male presents to the clinic with complaints of weakness in both legs for the past two weeks, progressively worsening, and difficulty walking.",0.8462715402474461
"{
   ""case_prompt"": ""An 82-year-old female presents with worsening back pain over the past month, concerned about difficulty in walking and frequent falls.""
}",A 75-year-old man presents to the clinic with complaints of increasing fatigue and unintentional weight loss over the past two months.,8c156713,elderly patient examination and management,A 75-year-old man presents to the clinic with complaints of increasing fatigue and unintentional weight loss over the past two months.,0.7990657921377353
"{
   ""case_prompt"": ""A 32-year-old male presents with sharp chest pain and difficulty breathing that developed over the last 5 hours.""
}",A 40-year-old male presents to the emergency department with complaints of chest pain that worsens when lying down and improves when sitting forward. He reports the pain has been persistent for the last two days.,e8da0af1,pericarditis,A 40-year-old male presents to the emergency department with complaints of chest pain that worsens when lying down and improves when sitting forward. He reports the pain has been persistent for the last two days.,0.8250371736663843
"{
   ""case_prompt"": ""A 62-year-old male presents with a complaint of worsening calf pain and cramping during walking for the past three months, which resolves with rest.""
}","A 62-year-old man presents to the clinic with complaints of leg pain while walking, which improves upon resting. He reports this pain has been worsening over the past month and is more severe with exertion.",b4875f56,peripheral vascular disease,"A 62-year-old man presents to the clinic with complaints of leg pain while walking, which improves upon resting. He reports this pain has been worsening over the past month and is more severe with exertion.",0.8533231686688918
"{
   ""case_prompt"": ""A 28-year-old male presents with petechiae and persistent fever for the past week.""
}","A 25-year-old female presents to the emergency department with multiple small red spots on her skin that have developed over the last two days. She reports that the spots are not painful and do not itch. She has also experienced mild fatigue but denies any fever, bleeding, or bruising elsewhere. Please take a full history and perform a relevant physical examination.",9bc4960d,petechiae and their causes,"A 25-year-old female presents to the emergency department with multiple small red spots on her skin that have developed over the last two days. She reports that the spots are not painful and do not itch. She has also experienced mild fatigue but denies any fever, bleeding, or bruising elsewhere. Please take a full history and perform a relevant physical examination.",0.8082978106078349
"{
   ""case_prompt"": ""A 60-year-old female presents with worsening shortness of breath and a persistent cough for the past two weeks, accompanied by profuse night sweats and unintentional weight loss.""
}",A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and a persistent dry cough over the past week.,0511e05f,pleural effusion,A 65-year-old male presents to the clinic with complaints of increasing shortness of breath and a persistent dry cough over the past week.,0.8472967686969504
"{
   ""case_prompt"": ""A 28-year-old male presents with sudden onset chest pain and shortness of breath after playing a game of basketball.""
}",A 28-year-old male presents to the emergency department with sudden onset of sharp chest pain and shortness of breath that started 2 hours ago. He reports that the pain worsens with deep breaths and lying flat.,fcdc46e0,Pneumothorax,A 28-year-old male presents to the emergency department with sudden onset of sharp chest pain and shortness of breath that started 2 hours ago. He reports that the pain worsens with deep breaths and lying flat.,0.8502990001634463
"{
   ""case_prompt"": ""A 68-year-old female presents with dizziness and lightheadedness that occur when standing up after sitting for prolonged periods.""
}",A 65-year-old male presents to the clinic with complaints of lightheadedness and near-syncope when standing up suddenly over the past month.,0912f9f5,Postural hypotension and its effects on patient health,A 65-year-old male presents to the clinic with complaints of lightheadedness and near-syncope when standing up suddenly over the past month.,0.858086726254331
"{
   ""case_prompt"": ""A 60-year-old male presents with episodes of lightheadedness and near-fainting, especially when standing up from a seated position.""
}","A 65-year-old woman presents to the clinic with complaints of feeling faint and lightheaded, especially when standing up, over the past week.",c46add23,Cardiovascular examination and symptoms of presyncope,"A 65-year-old woman presents to the clinic with complaints of feeling faint and lightheaded, especially when standing up, over the past week.",0.8469135850992245
"{
   ""case_prompt"": ""A 60-year-old male presents with proximal muscle weakness and difficulty climbing stairs over the past month.""
}","A 45-year-old man presents to the clinic with complaints of progressive proximal muscle weakness over the past 3 months, making it difficult for him to climb stairs or lift objects above his head.",8bc78854,Proximal weakness and its underlying causes,"A 45-year-old man presents to the clinic with complaints of progressive proximal muscle weakness over the past 3 months, making it difficult for him to climb stairs or lift objects above his head.",0.8576843351977843
"{
   ""case_prompt"": ""A 60-year-old female presents with acute shortness of breath and pleuritic chest pain that started suddenly 2 hours ago.""
}","A 65-year-old female presents to the emergency department with complaints of sudden onset shortness of breath and chest pain that worsens on deep inspiration, which started approximately 2 hours ago.",4e6805f1,Evaluate a patient with pulmonary embolism,"A 65-year-old female presents to the emergency department with complaints of sudden onset shortness of breath and chest pain that worsens on deep inspiration, which started approximately 2 hours ago.",0.8598228927668164
"{
   ""case_prompt"": ""A 62-year-old female presents with progressive shortness of breath over the last week, worsening with exertion.""
}","A 45-year-old woman presents to the emergency department with complaints of worsening shortness of breath over the last week, particularly when climbing stairs. She describes the sensation as a feeling of being unable to get enough air and reports mild wheezing at times.",7c29c6a0,dyspnoea and its potential causes,"A 45-year-old woman presents to the emergency department with complaints of worsening shortness of breath over the last week, particularly when climbing stairs. She describes the sensation as a feeling of being unable to get enough air and reports mild wheezing at times.",0.8477305905908583
"{
   ""case_prompt"": ""A 68-year-old male presents with dizziness and lightheadedness that worsens when standing up, which has been occurring intermittently for the past week.""
}",A 55-year-old female presents to the clinic with complaints of dizziness that has been occurring intermittently for the past week.,890df432,dizziness,A 55-year-old female presents to the clinic with complaints of dizziness that has been occurring intermittently for the past week.,0.8407061867647818
"{
   ""case_prompt"": ""A 62-year-old female presents with difficulty swallowing and pain in the throat that has progressed over the last week.""
}","A 45-year-old female presents to the clinic with a complaint of difficulty swallowing for the past week, accompanied by pain in her throat. She reports that the pain worsens when she swallows and is somewhat relieved by warm fluids.",fec1a289,Difficulty swallowing or pain in the throat,"A 45-year-old female presents to the clinic with a complaint of difficulty swallowing for the past week, accompanied by pain in her throat. She reports that the pain worsens when she swallows and is somewhat relieved by warm fluids.",0.8496715587903161
"{
   ""case_prompt"": ""A 28-year-old female presents with a rash on her face and fatigue for the past month.""
}",A 28-year-old woman presents to the clinic with a rash on her face and arms that has worsened over the past two weeks. She notes that the rash is more pronounced after sun exposure.,2d7bda70,"rash associated with autoimmune conditions, specifically lupus or Reiter's syndrome",A 28-year-old woman presents to the clinic with a rash on her face and arms that has worsened over the past two weeks. She notes that the rash is more pronounced after sun exposure.,0.8431226104249294
"{
   ""case_prompt"": ""A 60-year-old male presents with sudden onset shortness of breath and wheezing for the past hour.""
}","A 45-year-old man presents to the emergency department with complaints of increasing shortness of breath over the past two days, which has worsened when lying flat. He notes a dry cough and feels particularly fatigued. He has a history of asthma and a recent upper respiratory infection.",327ca25c,respiratory distress,"A 45-year-old man presents to the emergency department with complaints of increasing shortness of breath over the past two days, which has worsened when lying flat. He notes a dry cough and feels particularly fatigued. He has a history of asthma and a recent upper respiratory infection.",0.8287955703241601
"{
   ""case_prompt"": ""A 60-year-old male presents with a persistent cough and increasing shortness of breath over the past 6 months.""
}",A 67-year-old male presents to the clinic with complaints of increasing shortness of breath and a productive cough with green sputum over the past two weeks.,bda84235,chronic obstructive pulmonary disease (COPD) examination and history taking,A 67-year-old male presents to the clinic with complaints of increasing shortness of breath and a productive cough with green sputum over the past two weeks.,0.8361217303955969
"{
   ""case_prompt"": ""A 60-year-old male presents with progressive dyspnoea for the past week, accompanied by a dry cough and intermittent chest tightness.""
}","A 60-year-old male presents to the clinic with complaints of increasing breathlessness over the past week, which has worsened with exertion.",bf8958e3,Respiratory failure and related symptoms,"A 60-year-old male presents to the clinic with complaints of increasing breathlessness over the past week, which has worsened with exertion.",0.8484152924417923
"{
   ""case_prompt"": ""A 62-year-old male presents with sudden vision loss in the right eye over the past 2 hours.""
}",A 65-year-old male presents to the clinic with complaints of sudden vision loss in the right eye over the past 24 hours.,819321e5,retinal diseases or retinopathy,A 65-year-old male presents to the clinic with complaints of sudden vision loss in the right eye over the past 24 hours.,0.865505642703893
"{
   ""case_prompt"": ""A 55-year-old male presents with swelling and pain in the right knee for the past week.""
}",A 45-year-old female presents to the clinic with complaints of pain and swelling in her left knee that has persisted for the last week.,e474d35b,Joint examination and assessment due to pain or swelling,A 45-year-old female presents to the clinic with complaints of pain and swelling in her left knee that has persisted for the last week.,0.8416720215547817
"{
   ""case_prompt"": ""A 67-year-old female presents with bilateral hip and shoulder pain, which has been progressively worsening over the past three months. She reports morning stiffness lasting over an hour and significant discomfort after prolonged inactivity.""
}","A 45-year-old female patient presents to the clinic with complaints of persistent limb pain and stiffness, primarily affecting her wrists and knees, that has progressively worsened over the past month.",93482d80,"Rheumatological disorders, specifically related to joint and limb pain","A 45-year-old female patient presents to the clinic with complaints of persistent limb pain and stiffness, primarily affecting her wrists and knees, that has progressively worsened over the past month.",0.834573964918629
"{
   ""case_prompt"": ""A 28-year-old pregnant female presents with dysuria, increased urinary frequency, and lower abdominal pain for the past 3 days.""
}",A 28-year-old female presents to the clinic with complaints of dysuria and urgency for the past 2 days.,e9a0c17a,urinary tract infection,A 28-year-old female presents to the clinic with complaints of dysuria and urgency for the past 2 days.,0.8540117528336417
"{
   ""case_prompt"": ""A 58-year-old male presents with yellowing of the eyes and skin over the past week.""
}",A 45-year-old male presents to the clinic with complaints of yellowing of the eyes over the past week. He reports feeling unusually fatigued and has had a decreased appetite.,cb999057,Scleral icterus and its related examination,A 45-year-old male presents to the clinic with complaints of yellowing of the eyes over the past week. He reports feeling unusually fatigued and has had a decreased appetite.,0.8480597962216452
"{
   ""case_prompt"": ""A 10-year-old boy presents to the emergency department with a witnessed generalized tonic-clonic seizure that lasted for 2 minutes and has experienced similar episodes over the past week.""
}","A 10-year-old child presents to the clinic with a complaint of having experienced two episodes of fainting during physical activity over the past week. The mother reports the child appeared unresponsive for a few seconds during these episodes, followed by confusion. Please take a full history and perform a relevant physical examination.",9f64d32d,Evaluation of seizures in a young patient,"A 10-year-old child presents to the clinic with a complaint of having experienced two episodes of fainting during physical activity over the past week. The mother reports the child appeared unresponsive for a few seconds during these episodes, followed by confusion. Please take a full history and perform a relevant physical examination.",0.8018715485315938
"{
   ""case_prompt"": ""A 50-year-old male presents with a painful rash on his back that has been present for 5 days, associated with itching and some blistering.""
}",A 28-year-old female presents to the clinic with complaints of blistering eruptions on her skin that have developed over the past week. She notes that the blisters are itchy and have been causing significant discomfort.,ceeb3619,skin conditions or dermatological examination,A 28-year-old female presents to the clinic with complaints of blistering eruptions on her skin that have developed over the past week. She notes that the blisters are itchy and have been causing significant discomfort.,0.8390042032134781
"{
   ""case_prompt"": ""A 32-year-old male presents with multiple blistering eruptions on his torso and extremities that have developed over the past week.""
}",A 30-year-old male presents to the clinic with complaints of blistering eruptions on his arms and trunk that have developed over the past week.,7f7e86c3,blistering skin eruptions and related dermatological conditions,A 30-year-old male presents to the clinic with complaints of blistering eruptions on his arms and trunk that have developed over the past week.,0.8673026534427456
"{
   ""case_prompt"": ""A 28-year-old female presents with worsening pruritus and multiple erythematous, scaly lesions on her arms and back for the past 2 weeks.""
}",A 35-year-old female presents to the clinic with complaints of persistent itching and reddish pustular lesions on her arms and legs for the past two weeks.,a5509b33,Pruritus and skin lesions,A 35-year-old female presents to the clinic with complaints of persistent itching and reddish pustular lesions on her arms and legs for the past two weeks.,0.856129133163605
"{
   ""case_prompt"": ""A 52-year-old male presents with loud snoring and episodes of choking during sleep, as reported by his partner.""
}","A 45-year-old man presents to the clinic with complaints of loud snoring and episodes of gasping for air during sleep, reported by his partner. He also mentions feeling excessively tired during the day.",73cf36ed,Sleep apnea assessment and management,"A 45-year-old man presents to the clinic with complaints of loud snoring and episodes of gasping for air during sleep, reported by his partner. He also mentions feeling excessively tired during the day.",0.8534372909289533
"{
   ""case_prompt"": ""A 28-year-old male presents with a swollen and painful right ankle after twisting it during a basketball game 2 hours ago.""
}",A 28-year-old male presents to the clinic with complaints of swelling and pain in his right ankle after twisting it during a basketball game two days ago.,d6feba5e,soft tissue injuries,A 28-year-old male presents to the clinic with complaints of swelling and pain in his right ankle after twisting it during a basketball game two days ago.,0.8679924993794821
"{
   ""case_prompt"": ""A 55-year-old male presents with fatigue, pallor, and a feeling of fullness in the left upper quadrant for the past month.""
}",A 45-year-old male presents to the clinic with a chief complaint of increasing abdominal fullness and discomfort over the past two weeks. He reports feeling more fatigued than usual and has noticed some early satiety during meals.,94ddc0ef,Signs and examination related to splenomegaly,A 45-year-old male presents to the clinic with a chief complaint of increasing abdominal fullness and discomfort over the past two weeks. He reports feeling more fatigued than usual and has noticed some early satiety during meals.,0.8519089990419338
"{
   ""case_prompt"": ""A 6-year-old male presents with widespread blistering and peeling of the skin after having a fever for two days.""
}","A 2-year-old child presents to the emergency department with a widespread skin rash that started 2 days ago, accompanied by peeling of the skin and irritability. The caregivers report that the child has been feverish and fussy. Please take a full history and perform a relevant examination.",18dd9193,Staphylococcus scalded skin syndrome,"A 2-year-old child presents to the emergency department with a widespread skin rash that started 2 days ago, accompanied by peeling of the skin and irritability. The caregivers report that the child has been feverish and fussy. Please take a full history and perform a relevant examination.",0.834023343397135
"{
   ""case_prompt"": ""A 52-year-old male presents with a painful swelling under his jaw that has progressively increased in size over the last 48 hours.""
}",A 35-year-old male presents to the clinic with a painful swelling in the left side of his neck that has progressively increased in size over the past 2 days. He reports difficulty swallowing and some fever. Please take a full history and perform a physical examination.,6b6c29f4,submandibular abscess,A 35-year-old male presents to the clinic with a painful swelling in the left side of his neck that has progressively increased in size over the past 2 days. He reports difficulty swallowing and some fever. Please take a full history and perform a physical examination.,0.812176595605073
"{
   ""case_prompt"": ""A 67-year-old male presents with difficulty swallowing and intermittent choking episodes occurring over the past two weeks.""
}",A 56-year-old male presents to the clinic with complaints of difficulty swallowing that has worsened over the past month. He reports a sensation of food getting stuck in his throat and occasional choking episodes.,9924e1b5,swallowing difficulties,A 56-year-old male presents to the clinic with complaints of difficulty swallowing that has worsened over the past month. He reports a sensation of food getting stuck in his throat and occasional choking episodes.,0.8375817604961238
"{
   ""case_prompt"": ""A 29-year-old female presents with a facial rash that worsens after sun exposure and joint pain in her hands for the past two weeks.""
}",A 28-year-old female presents to the clinic with a rash on her face that has worsened over the past month. She also reports feeling more fatigued than usual.,91642faf,systemic lupus erythematosus (SLE) examination,A 28-year-old female presents to the clinic with a rash on her face that has worsened over the past month. She also reports feeling more fatigued than usual.,0.8429852786365986
"{
   ""case_prompt"": ""A 28-year-old male presents with worsening pharyngeal pain and difficulty swallowing for the past three days.""
}","A 12-year-old child presents to the clinic with a 3-day history of sore throat, difficulty swallowing, and fever. Perform a full history taking and physical examination focused on the throat.",22488ec5,pharyngeal pain or throat examination,"A 12-year-old child presents to the clinic with a 3-day history of sore throat, difficulty swallowing, and fever. Perform a full history taking and physical examination focused on the throat.",0.7841835957841286
"{
   ""case_prompt"": ""A 30-year-old female presents with weight loss, palpitations, and increased sweating over the past month.""
}","A 30-year-old female presents to the clinic with complaints of increased nervousness, weight loss, and heat intolerance over the past month.",368706f2,Thyroid dysfunction or examination,"A 30-year-old female presents to the clinic with complaints of increased nervousness, weight loss, and heat intolerance over the past month.",0.8319617009212588
"{
   ""case_prompt"": ""A 28-year-old female presents with persistent fatigue during her second trimester of pregnancy, worsening over the past month.""
}",A 28-year-old woman presents to the clinic with complaints of persistent tiredness for the past month. She is currently 20 weeks pregnant and states that her fatigue is affecting her daily activities.,f4321a7f,Evaluation of a patient with fatigue during pregnancy,A 28-year-old woman presents to the clinic with complaints of persistent tiredness for the past month. She is currently 20 weeks pregnant and states that her fatigue is affecting her daily activities.,0.8646742012156456
"{
   ""case_prompt"": ""A 32-year-old male presents with severe abdominal pain and distension following a blunt abdominal trauma sustained in a motorcycle accident 2 hours ago.""
}",A 25-year-old male presents to the emergency department with severe abdominal pain following a motorcycle accident 2 hours ago. He reports that the pain started suddenly and is located in the right upper quadrant. Please take a full history and perform a relevant physical examination.,a9d2c48d,Acute abdomen following blunt trauma,A 25-year-old male presents to the emergency department with severe abdominal pain following a motorcycle accident 2 hours ago. He reports that the pain started suddenly and is located in the right upper quadrant. Please take a full history and perform a relevant physical examination.,0.8414377922785636
"{
   ""case_prompt"": ""A 62-year-old male presents with increasing fatigue and swelling in his legs over the past month.""
}",A 65-year-old man presents to the clinic with complaints of worsening fatigue and shortness of breath over the past month. He reports palpitations occurring intermittently and has noticed swelling in his ankles. Please take a full history and perform a relevant examination.,93064473,tricuspid regurgitation examination,A 65-year-old man presents to the clinic with complaints of worsening fatigue and shortness of breath over the past month. He reports palpitations occurring intermittently and has noticed swelling in his ankles. Please take a full history and perform a relevant examination.,0.827485325876632
"{
   ""case_prompt"": ""A 58-year-old male with a history of diabetes mellitus presents with numbness and tingling in his right hand for the past two weeks.""
}",A 52-year-old male presents to the clinic with complaints of numbness and weakness in both hands that has gradually worsened over the past month.,dd0b7fc2,Upper limb examination in relation to diabetes mellitus,A 52-year-old male presents to the clinic with complaints of numbness and weakness in both hands that has gradually worsened over the past month.,0.8488158030684578
"{
   ""case_prompt"": ""A 28-year-old pregnant female presents with dysuria and increased frequency of urination for the past 2 days.""
}",A 25-year-old female presents to the clinic with complaints of dysuria and increased frequency of urination for the past two days.,e9fc98cb,urinary tract infection (UTI),A 25-year-old female presents to the clinic with complaints of dysuria and increased frequency of urination for the past two days.,0.8583191606160003
"{
   ""case_prompt"": ""A 28-year-old pregnant female presents with dysuria, increased urinary frequency, and lower abdominal discomfort for the past 48 hours.""
}",A 28-year-old woman presents to the clinic with complaints of increased urinary frequency and burning sensation during urination for the past 5 days.,8d213706,Urinary tract infection (UTI),A 28-year-old woman presents to the clinic with complaints of increased urinary frequency and burning sensation during urination for the past 5 days.,0.8416953211035573
"{
   ""case_prompt"": ""A 28-year-old female presents with a complaint of increased vaginal discharge that has a foul odor and is accompanied by itching.""
}",A 28-year-old woman presents to the clinic with complaints of abnormal vaginal discharge for the past week. She describes the discharge as having a strong odor and a change in color. She denies any associated itching or irritation.,3f3aad26,vaginal discharge or related gynecological examination,A 28-year-old woman presents to the clinic with complaints of abnormal vaginal discharge for the past week. She describes the discharge as having a strong odor and a change in color. She denies any associated itching or irritation.,0.8724353295545435
"{
   ""case_prompt"": ""A 65-year-old female presents with a painful ulcer on her right lower leg that has not healed for 3 months.""
}","A 62-year-old female presents to the clinic with complaints of a painful, non-healing sore on her right leg that has been present for the past 6 weeks.",924c9339,venous ulcers,"A 62-year-old female presents to the clinic with complaints of a painful, non-healing sore on her right leg that has been present for the past 6 weeks.",0.8356513322449434
"{
   ""case_prompt"": ""A 60-year-old male presents with sudden onset double vision and difficulty focusing his gaze over the past 2 hours.""
}",A 45-year-old female presents to the clinic with complaints of visual disturbances that have been occurring intermittently for the past week.,f712d00f,visual disturbances,A 45-year-old female presents to the clinic with complaints of visual disturbances that have been occurring intermittently for the past week.,0.8280271791905981
"{
   ""case_prompt"": ""A 50-year-old male presents with easy bruising and persistent bleeding from his gums over the past week.""
}",A 28-year-old woman presents to the clinic with complaints of easy bruising and prolonged bleeding after minor cuts over the past two weeks.,6afb4c05,vitamin K deficiency and its clinical manifestations,A 28-year-old woman presents to the clinic with complaints of easy bruising and prolonged bleeding after minor cuts over the past two weeks.,0.8295263919872191
"{
   ""case_prompt"": ""A 30-year-old male presents with wheezing and difficulty breathing, which has worsened over the past 2 hours.""
}",A 4-year-old child presents to the clinic with complaints of wheezing and difficulty breathing that started suddenly this morning.,8fb8e464,"Assessing a patient with respiratory symptoms, particularly wheezing or stridor",A 4-year-old child presents to the clinic with complaints of wheezing and difficulty breathing that started suddenly this morning.,0.8187758280352242
"{
   ""case_prompt"": ""A 34-year-old male presents with abdominal pain that radiates to his lower back, worsens at night, and is associated with morning stiffness.""
}",A 35-year-old male presents to the clinic with complaints of severe abdominal pain that started suddenly two hours ago. The pain is localized to the right upper quadrant and is associated with nausea. Please take a full history and perform a relevant physical examination.,d132562f,Abdominal pain and possible underlying conditions,A 35-year-old male presents to the clinic with complaints of severe abdominal pain that started suddenly two hours ago. The pain is localized to the right upper quadrant and is associated with nausea. Please take a full history and perform a relevant physical examination.,0.8197550914150558
"{
   ""case_prompt"": ""A 42-year-old male presents with worsening chest pain that started 3 hours ago, described as a sharp sensation radiating to his back, associated with shortness of breath and increased with deep breathing.""
}",A 54-year-old male presents to the clinic with complaints of chest discomfort for the past 3 days. He describes the pain as a pressure-like sensation that worsens with exertion but improves with rest.,78577751,Chest pain or discomfort,A 54-year-old male presents to the clinic with complaints of chest discomfort for the past 3 days. He describes the pain as a pressure-like sensation that worsens with exertion but improves with rest.,0.8460813001524967
"{
   ""case_prompt"": ""A 62-year-old male presents with chest pain that started 30 minutes ago while walking. He describes the pain as a pressure sensation in the center of his chest that radiates to his left arm.""
}","A 45-year-old male presents to the clinic with complaints of chest pain that started 3 hours ago. He describes the pain as a heavy pressure in the middle of his chest, radiating to his left arm. He rates the pain as 7 out of 10 and is accompanied by shortness of breath and sweating.",28000d63,Cardiovascular system; chest pain evaluation,"A 45-year-old male presents to the clinic with complaints of chest pain that started 3 hours ago. He describes the pain as a heavy pressure in the middle of his chest, radiating to his left arm. He rates the pain as 7 out of 10 and is accompanied by shortness of breath and sweating.",0.8684802735649475
"{
   ""case_prompt"": ""A 40-year-old male presents with chest pain that started suddenly 1 hour ago, described as severe and sharp, radiating to the back. He also reports a feeling of tightness in his chest and difficulty breathing.""
}","A 52-year-old male presents to the clinic with complaints of chest discomfort that started 3 days ago. He describes the discomfort as a pressure-like sensation, particularly worsening on exertion.",812a2830,chest pain or discomfort,"A 52-year-old male presents to the clinic with complaints of chest discomfort that started 3 days ago. He describes the discomfort as a pressure-like sensation, particularly worsening on exertion.",0.8453795303473179
"{
   ""case_prompt"": ""A 62-year-old male presents with chest pain that began 30 minutes ago, radiating to his left arm and accompanied by shortness of breath.""
}",A 55-year-old male presents to the clinic with complaints of chest discomfort that has been persistent over the last three days.,50f33e60,cardiovascular examination and chest pain,A 55-year-old male presents to the clinic with complaints of chest discomfort that has been persistent over the last three days.,0.8398159730150856
"{
   ""case_prompt"": ""A 58-year-old male presents with chest pain that started 30 minutes ago, described as a tightness in the center of his chest, radiating to his left arm.""
}",The patient presents to the clinic with complaints of chest pain that has been worsening over the last 48 hours.,41152fb0,chest pain and cardiovascular examination,The patient presents to the clinic with complaints of chest pain that has been worsening over the last 48 hours.,0.8184343295659502
"{
   ""case_prompt"": ""A 52-year-old male presents with a 3-month history of persistent heartburn and occasional difficulty swallowing.""
}",A 45-year-old male presents to the clinic with complaints of persistent heartburn and regurgitation of food for the past two weeks.,c4029571,"Evaluation of gastrointestinal symptoms, possibly related to the stomach or esophagus.",A 45-year-old male presents to the clinic with complaints of persistent heartburn and regurgitation of food for the past two weeks.,0.8413418113087276
