question,case_prompt,document
Musculoskeletal examination for hip pain,"A 45-year-old male presents to the clinic with complaints of right hip pain that has persisted for the past two weeks. He describes the pain as a deep ache, worsened with activity and improved with rest.",0a5808b9
Assessment of hip and knee alignment and function,"A 12-year-old boy presents to the clinic with concern about his knees, which his parents have noticed appear 'bowed' when he stands. They are worried that this may affect his ability to play sports.",0eb55501
Knee disorders and their examination techniques,A 30-year-old male presents to the clinic with complaints of right knee pain and swelling for the past week. He reports difficulty in fully extending his knee and notices a 'giving way' sensation while walking.,d9a62280
Knee joint examination for swelling or pain,A 28-year-old woman presents to the clinic with complaints of swelling and pain in her right knee for the past week.,68b1b790
Knee joint pain and examination for patellar conditions,"A 30-year-old male presents to the clinic with complaints of knee pain that worsens with activity, particularly when climbing stairs, and occasional swelling. He states the pain has been progressively increasing over the past month.",bcc6caa4
Foot deformities and musculoskeletal examination,"A 12-year-old boy presents to the clinic with complaints of flat feet and recurring ankle pain, especially after physical activity over the past 2 months.",253573e1
Foot deformities and their examination,"A 3-year-old child presents to the clinic with a noticeable deformity of the left foot, where the foot appears rotated inward at the ankle. The parents report that the child has difficulty walking and tends to walk on the forefoot. They are concerned about the position of the foot and seek evaluation and management.",1358cc09
"Foot deformities, specifically talipes conditions and associated examination techniques",A 12-year-old child presents to the clinic with a complaint of difficulty walking and an abnormal appearance of the feet. The parents report that the child’s feet appear excessively arched and the heel seems to bear most of the weight when standing or walking.,c29bae05
Knee examination and evaluation of knee deformities or special tests,A 30-year-old male presents to the clinic with complaints of knee pain and swelling after a sports injury during a basketball game yesterday.,f28f4204
Assessment of foot deformities and musculoskeletal examination,"A 10-year-old child presents to the clinic with complaints of foot pain and difficulty in walking, particularly noted by the parents over the past month.",256b9b7c
Neurological examination and high brain function assessment,A 65-year-old man presents to the clinic with increasing difficulty in remembering recent events over the past 2 months. He reports getting lost in familiar places and struggles to recall names of close family members. Please take a full history and perform a neurological examination.,b7e44926
Mental status examination or cognitive function assessment,A 72-year-old male presents to the clinic with complaints of memory loss and confusion over the past month.,d0a51b12
Olfactory nerve examination and dysfunction,A 45-year-old male presents to the clinic with complaints of a reduced ability to smell over the past month.,9c39ca49
Olfactory nerve dysfunction or cranial nerve examination,A 45-year-old male presents to the clinic with complaints of a loss of smell that has progressed over the last month. He notes that he can no longer enjoy food as he used to and has also noticed some changes in his taste.,2da803b3
Neurological examination related to accommodation and pupils,A 24-year-old female presents to the clinic with complaints of double vision and difficulty focusing on objects over the past week.,2d1a05ff
"Examination of cranial nerve function, particularly assessing for diplopia and sensory impairment in the face.",A 45-year-old man presents to the clinic with complaints of double vision that has worsened over the last week.,615cc9dc
Testing the sensation and motor function of the trigeminal nerve,A 32-year-old patient presents to the clinic with complaints of numbness and tingling on the left side of their face for the past week.,96e741ad
Assessment of cranial nerve function related to the trigeminal and facial nerves,A 52-year-old patient presents to the clinic with complaints of difficulty closing their left eye and decreased sensation on the left side of the face for the past week.,4860ca08
Facial nerve function and assessment of facial palsy,A 65-year-old woman presents to the clinic with complaints of sudden weakness on the left side of her face that started 2 days ago. She reports difficulty closing her left eye and smiling on that side.,72f4049d
Facial nerve palsy assessment and differentiation between central and peripheral lesions,A 62-year-old female presents to the clinic with a complaint of inability to close her right eye and drooping of the right side of her mouth noticed over the past 24 hours.,3098fa95
Peripheral facial nerve palsy,"A 45-year-old woman presents to the clinic with complaints of inability to close her left eye and weakness in the left side of her face, which she noticed developing over the last two days.",579330e3
Vestibular nerve lesions and related symptoms like vertigo and imbalance,The patient presents to the clinic with complaints of severe vertigo and unsteady gait for the past week.,04a91b13
"Glossopharyngeal nerve and vagus nerve dysfunction, swallowing difficulty, and gag reflex impairment",A 65-year-old male presents to the clinic with complaints of difficulty swallowing and episodes of choking while eating over the past week.,bc4e0d0e
Examination of cranial nerves and assessment of gag reflex,A 72-year-old man presents to the clinic with complaints of difficulty swallowing and a sensation of food getting stuck in his throat for the past week.,61943a64
"Assessment of cranial nerve function, particularly the accessory and hypoglossal nerves",A 65-year-old man presents to the clinic with complaints of difficulty in moving his head to the right and problems with tongue movement after a recent stroke.,6f61cedb
Neurological examination focusing on sensory testing,A 45-year-old male presents to the clinic with complaints of reduced sensation in his right arm over the past week.,5fd67fa5
"Neurological examination, sensory testing, or peripheral neuropathy",A 54-year-old man presents to the clinic with complaints of numbness and tingling in his hands and feet for the past three weeks.,7702ed4b
Neurological examination focusing on sensory assessment,A 55-year-old male presents to the clinic with complaints of numbness and tingling in his hands and feet for the past 2 weeks.,e440e275
Patients with neuropathic pain and sensory impairment testing,A 65-year-old male presents to the clinic with complaints of tingling and numbness in both feet over the past month. He describes the sensation as 'like wearing a tight sock.',ce9838e9
Sensory loss and neurological examination findings,A 65-year-old male presents to the clinic with complaints of numbness and tingling in his right arm and leg over the past week. He describes a feeling of 'pins and needles' and reports difficulty with coordination on that side.,a5466040
Neurological examination focusing on muscle strength and paralysis patterns,"A 65-year-old male presents to the clinic with complaints of persistent weakness in his right arm and leg, which has gradually worsened over the past month.",1507809f
Assessment of muscle weakness and paralysis,A 65-year-old male presents to the clinic with complaints of sudden weakness in his right arm and leg over the past 2 days. He notes difficulty with coordination and says he has had numbness on the right side of his face. The patient denies any recent trauma or falls.,d37044d1
"Evaluation of haematological disorders, specifically related to abnormalities such as anaemia and leukocyte changes",A 45-year-old male presents to the clinic with complaints of fatigue and pallor for the past month. He reports increased shortness of breath on exertion and has noticed his skin appearing unusually pale. Please take a full history and perform a relevant physical examination.,af0a3370
Anemia evaluation,A 35-year-old female presents to the clinic with complaints of fatigue and pallor over the past two months.,d07a5ab2
Vitamin B12 deficiency and its associated conditions,A 62-year-old man presents to the clinic with complaints of fatigue and weakness for the past month. He reports feeling increasingly tired and has noticed a tingling sensation in his hands and feet. He has a history of alcohol use and a vegetarian diet. Please take a full history and perform a relevant examination.,d2fe8c8b
Anaemia and its causes,A 45-year-old woman presents to the clinic with complaints of persistent fatigue and weakness over the past 4 weeks.,de9e4257
Hemolytic anemia and its causes,"A 25-year-old female presents to the clinic with complaints of fatigue, pallor, and shortness of breath that have been worsening over the past week.",71eaf503
Megaloblastic anemia and its clinical features,A 45-year-old woman presents to the clinic with complaints of fatigue and pallor over the past month.,22450976
Pancytopenia and its underlying causes,"A 35-year-old female presents to the clinic with fatigue, bruising, and recurrent infections over the past month.",0cdf3863
acute leukaemia and its symptoms,"A 25-year-old female presents to the clinic with complaints of increasing fatigue, frequent bruising, and recurrent fevers over the past month.",e66b4a58
Acute lymphoblastic leukaemia and its clinical presentation,A 10-year-old boy presents to the clinic with complaints of recurrent mouth ulcers and an unexplained weight loss of 5 kg over the past month.,7be5540f
Polycythemia vera and associated symptoms,A 55-year-old man presents to the clinic with complaints of persistent fatigue and headaches for the past month. He also reports episodes of dizziness and increased itching after hot showers.,3dcb6d3a
Polycythaemia and its examination,"A 55-year-old male presents to the clinic with complaints of fatigue and a persistent headache for the past month. He reports a red tone to his skin, particularly on his face and hands.",3bdbd5d7
Polycythaemia vera and its clinical examination,A 55-year-old male presents to the clinic with complaints of persistent fatigue and occasional headaches over the past month.,6e3818fd
Chronic myeloid leukaemia and its associated physical examination or complications,A 60-year-old male presents to the clinic with complaints of persistent fatigue and night sweats over the past month.,12cd479d
Chronic myeloid leukaemia and its examination,A 55-year-old male presents to the clinic with complaints of excessive fatigue and abdominal fullness over the past month.,8d29b5d0
Symptoms and examination of non-Hodgkin’s lymphoma,A 45-year-old male presents to the clinic with complaints of significant tiredness and pallor over the last month. He also reports experiencing recurrent infections during this period. Please take a full history and perform a relevant physical examination.,ffc2d797
Assessment of polycythaemia vera and its complications,"A 58-year-old male presents to the clinic with complaints of persistent fatigue and headaches for the past month. He reports a history of difficulty breathing during exertion. On physical examination, you note diffuse abdominal discomfort. Please take a full history and perform a relevant examination.",2de52f2b
Gout and its complications including arthritis and associated vascular issues,"A 65-year-old male presents to the clinic with a painful swelling in his right big toe that has persisted for the last 48 hours. He reports that the pain started suddenly and is severe, making it difficult for him to walk. On examination, the affected joint appears red and swollen.",717c38d5
Signs and symptoms of polycythemia vera,"A 54-year-old male presents to the clinic with complaints of fatigue, headache, and generalized itching, particularly after taking a warm shower. He also mentions noticing a red complexion and occasional episodes of dizziness over the past few weeks.",44086375
Polycythaemia and associated complications,A 58-year-old male presents to the clinic with generalized itching and easy bruising over the past month.,a9a4db87
Cyanotic congenital heart disease or related conditions,"A 2-year-old child presents to the clinic with complaints of bluish discoloration of the lips and extremities, especially when agitated or crying, for the past week.",acd02a25
Hematological examination for potential lymphoma or cancer staging,A 55-year-old male presents to the clinic with complaints of persistent fatigue and unexplained weight loss of 12 pounds over the past month.,9bb1205c
Hodgkin's lymphoma examination and diagnosis,A 28-year-old male presents to the clinic with painless lymphadenopathy in the cervical region that has been progressively enlarging over the past month.,24bfd716
Signs and symptoms of essential thrombocythaemia and its complications,"A 58-year-old woman presents to the clinic with complaints of frequent headaches, easy bruising, and occasional episodes of dizziness over the past month.",d27dd2f8
Hodgkin's lymphoma presentation and examination,A 24-year-old male presents to the clinic with complaints of unexplained weight loss of 10 kg over the past month and persistent lymphadenopathy in the neck. He reports night sweats and fatigue. Please take a full history and perform a relevant physical examination.,4b1a5c34
Lymphoma presentation and examination,A 23-year-old male presents to the clinic with generalized lymphadenopathy and unintentional weight loss over the past month.,16d66e76
Symptoms of multiple myeloma such as bone pain and signs of kidney disease,A 65-year-old male presents to the clinic with complaints of persistent back pain for the past month. He reports that the pain has been worsening and is now affecting his daily activities.,7837ccc7
Multiple myeloma and its symptoms,A 65-year-old man presents to the clinic with complaints of persistent back pain and increased fatigue over the past month.,0ee9c539
multiple myeloma and its clinical features,"A 65-year-old man presents to the clinic with complaints of increasing fatigue and persistent back pain over the past two months. He also mentions occasional episodes of feeling very thirsty and needing to urinate more frequently, especially at night.",c16ff593
"lymphoma and its related symptoms, particularly those affecting the chest and mediastinum",A 45-year-old male presents to the clinic with complaints of persistent cough and unexpected weight loss over the past two months.,0ff28abf
history and examination of a patient with a history of lymphoma,"A 45-year-old man presents to the clinic with concerns about increasing fatigue, unexplained weight loss, and night sweats over the past month. He has a history of lymphoma, currently in remission. Please take a full history and perform a relevant physical examination.",91896730
lymphadenopathy or lymph node enlargement,A 45-year-old woman presents to the clinic with complaints of enlarged lymph nodes in her neck that she has noticed over the past two weeks.,a1c40c26
Rheumatological disorders such as rheumatoid arthritis or systemic lupus erythematosus,A 35-year-old female presents to the clinic with complaints of joint pain and swelling in her hands and knees that has been worsening over the past month.,4ad0a3e6
"Chest pain, differential diagnosis including cardiac, gastrointestinal, and musculoskeletal causes",A 45-year-old male presents to the clinic with complaints of chest pain that has been worsening over the past 3 days.,a5435b69
"Rheumatological conditions, specifically joint pain","A 45-year-old female presents to the clinic with complaints of painful and swollen joints, particularly in her hands and knees, that have persisted for the past two weeks.",fc47a3cc
"Rheumatological disease, joint pain, systemic symptoms","A 32-year-old female presents to the clinic with complaints of red eyes, fatigue, and joint pain in her hands and knees for the past four weeks.",fbbf658d
Joint pain and arthritis evaluation,A 45-year-old male presents to the clinic with complaints of painful swelling in both knees for the past week. He states the pain is worse in the morning and improves throughout the day but has experienced stiffness that lasts for over an hour each morning.,5e8c9727
"Rheumatic diseases, particularly arthritis types and their examination",A 45-year-old female presents to the clinic with swelling and painful stiffness in her right knee that started suddenly two days ago. She reports that her knee is warm to touch and she is having difficulty walking due to the pain.,803c67f8
monoarthritis evaluation and examination,"A 45-year-old male presents to the clinic with a hot, swollen, and painful right knee that started suddenly two days ago.",a31e0cc5
Chronic monoarthritis or inflammatory joint conditions,"A 48-year-old male presents to the clinic with a painful right knee that has been swelling and stiff for the past two weeks, particularly worse in the morning. He reports difficulty in walking and has noticed a decreased range of motion in the joint.",1de66cab
Acute septic arthritis in a patient with rheumatoid arthritis,A 58-year-old female patient with a history of well-controlled rheumatoid arthritis presents to the clinic with complaints of a swollen and painful right knee that has developed over the last 24 hours. She reports increased warmth and tenderness in the joint and expresses concerns about her arthritis treatment.,926b8de4
Rheumatoid arthritis or inflammatory joint pain,"A 45-year-old female presents to the clinic with complaints of morning stiffness in her hands and wrists for the past 2 months, which lasts for over an hour. She also reports difficulty in gripping objects and notices some swelling in her joints.",61d1c64f
joint deformity and instability associated with pain and sensation changes,"A 55-year-old female presents to the clinic with complaints of progressive deformity in her right hand over the past month, accompanied by pain and occasional episodes of her fingers feeling numb. She reports that the pain worsens with activity and describes a sense of her fingers 'giving way' during some movements.",afe920e7
Diabetic cheiroarthritis and its examination,"A 58-year-old male presents to the clinic with complaints of pain and stiffness in his hands, which has been gradually worsening over the past few months. He reports difficulty in extending his fingers and notices that his skin feels thickened and tight around the joints.",05dde56d
"Musculoskeletal pain assessment and management, including potential nerve root involvement",A 65-year-old male presents to the clinic with complaints of localized back pain that has worsened over the past two weeks. He reports that the pain is aggravated by movement and occasionally radiates down his leg.,77ec42c0
Limb pain and musculoskeletal disorders,"A 45-year-old woman presents to the clinic with complaints of persistent lower back pain for the past two weeks, which is worse at night and improves slightly with movement.",33c8a960
ankylosing spondylitis and associated symptoms,A 28-year-old male presents to the clinic with complaints of back pain that has worsened over the past month. He notes that the pain is particularly bad at night and improves with activity. He also experiences morning stiffness that lasts for over 30 minutes. The pain occasionally radiates to his buttocks. Please take a full history and perform a physical examination.,cea57a51
Spondyloarthritis or Psoriatic Arthritis,"A 32-year-old male presents to the clinic with pain and stiffness in his lower back and hips, which has been worsening over the past 2 months. He reports difficulty sleeping due to the pain, especially in the early morning. Please take a full history and perform a relevant physical examination.",b56edea4
osteoarthritis,"A 62-year-old man presents to the clinic with worsening pain and stiffness in his knees and hips, particularly after activities. He reports difficulty walking up stairs and has noticed swelling in his knees over the past few weeks.",53b09f14
Raynaud's phenomenon or rheumatologic conditions,"A 55-year-old female presents to the clinic with complaints of episodic color changes in her fingers, turning white and then blue during exposure to cold temperatures, followed by redness and throbbing upon warming.",0f1016f4
Polymyalgia rheumatica and its symptoms,"A 65-year-old woman presents to the clinic with complaints of bilateral shoulder and hip pain that started gradually over the past month, and she reports associated morning stiffness lasting over an hour.",f863acd5
